run	year	lct	area
1	1	crop	2039000
1	1	grass	222700
1	1	oak	2374500
1	1	pine	1052600
1	1	shrub	829800
1	1	urban	35700
1	1	water	443900
1	2	crop	2036000
1	2	grass	222300
1	2	oak	2373500
1	2	pine	1054100
1	2	shrub	830400
1	2	urban	35700
1	2	water	443900
1	3	crop	2041500
1	3	grass	222700
1	3	oak	2377300
1	3	pine	1054500
1	3	shrub	830700
1	3	urban	35700
1	3	water	443900
1	4	crop	2026100
1	4	grass	220600
1	4	oak	2365000
1	4	pine	1050600
1	4	shrub	829400
1	4	urban	35700
1	4	water	443900
1	5	crop	2026000
1	5	grass	222500
1	5	oak	2371200
1	5	pine	1046700
1	5	shrub	828400
1	5	urban	35700
1	5	water	443900
1	6	crop	2037800
1	6	grass	222700
1	6	oak	2375300
1	6	pine	1053700
1	6	shrub	830200
1	6	urban	35700
1	6	water	443900
1	7	crop	2025200
1	7	grass	222500
1	7	oak	2372100
1	7	pine	1047600
1	7	shrub	827700
1	7	urban	35700
1	7	water	443900
1	8	crop	2008400
1	8	grass	220500
1	8	oak	2363300
1	8	pine	1042300
1	8	shrub	826000
1	8	urban	35700
1	8	water	443900
1	9	crop	2040300
1	9	grass	222800
1	9	oak	2376600
1	9	pine	1053300
1	9	shrub	830500
1	9	urban	35700
1	9	water	443900
1	10	crop	2027700
1	10	grass	222300
1	10	oak	2366900
1	10	pine	1044000
1	10	shrub	827800
1	10	urban	35700
1	10	water	443900
1	11	crop	2040200
1	11	grass	222800
1	11	oak	2375800
1	11	pine	1054000
1	11	shrub	830400
1	11	urban	35700
1	11	water	443900
1	12	crop	2035400
1	12	grass	222400
1	12	oak	2369200
1	12	pine	1049800
1	12	shrub	829300
1	12	urban	35700
1	12	water	443900
1	13	crop	2026900
1	13	grass	222400
1	13	oak	2372800
1	13	pine	1045400
1	13	shrub	827700
1	13	urban	35700
1	13	water	443900
1	14	crop	2034500
1	14	grass	222500
1	14	oak	2372200
1	14	pine	1049100
1	14	shrub	827600
1	14	urban	35700
1	14	water	443900
1	15	crop	2020700
1	15	grass	222200
1	15	oak	2363200
1	15	pine	1039400
1	15	shrub	826500
1	15	urban	35700
1	15	water	443900
1	16	crop	2038300
1	16	grass	222700
1	16	oak	2376000
1	16	pine	1053700
1	16	shrub	830200
1	16	urban	35700
1	16	water	443900
1	17	crop	2037600
1	17	grass	222500
1	17	oak	2373100
1	17	pine	1052800
1	17	shrub	830300
1	17	urban	35700
1	17	water	443900
1	18	crop	2032400
1	18	grass	221500
1	18	oak	2372400
1	18	pine	1053000
1	18	shrub	829700
1	18	urban	35700
1	18	water	443900
1	19	crop	2035400
1	19	grass	222300
1	19	oak	2372800
1	19	pine	1048300
1	19	shrub	829100
1	19	urban	35700
1	19	water	443900
1	20	crop	2040600
1	20	grass	222800
1	20	oak	2376800
1	20	pine	1054500
1	20	shrub	830600
1	20	urban	35700
1	20	water	443900
2	1	crop	2040100
2	1	grass	222700
2	1	oak	2376000
2	1	pine	1053900
2	1	shrub	830500
2	1	urban	35700
2	1	water	443900
2	2	crop	2035400
2	2	grass	222500
2	2	oak	2370200
2	2	pine	1048900
2	2	shrub	829700
2	2	urban	35700
2	2	water	443900
2	3	crop	2025200
2	3	grass	222800
2	3	oak	2374100
2	3	pine	1048500
2	3	shrub	827300
2	3	urban	35700
2	3	water	443900
2	4	crop	2039000
2	4	grass	222500
2	4	oak	2373900
2	4	pine	1053000
2	4	shrub	830200
2	4	urban	35700
2	4	water	443900
2	5	crop	2037200
2	5	grass	222200
2	5	oak	2373200
2	5	pine	1052500
2	5	shrub	830400
2	5	urban	35700
2	5	water	443900
2	6	crop	2033300
2	6	grass	222500
2	6	oak	2374000
2	6	pine	1049800
2	6	shrub	829100
2	6	urban	35700
2	6	water	443900
2	7	crop	2035100
2	7	grass	222700
2	7	oak	2375400
2	7	pine	1051200
2	7	shrub	829800
2	7	urban	35700
2	7	water	443900
2	8	crop	2038900
2	8	grass	222600
2	8	oak	2374700
2	8	pine	1053400
2	8	shrub	830300
2	8	urban	35700
2	8	water	443900
2	9	crop	2032800
2	9	grass	221400
2	9	oak	2369400
2	9	pine	1048700
2	9	shrub	829700
2	9	urban	35700
2	9	water	443900
2	10	crop	2037900
2	10	grass	222800
2	10	oak	2375800
2	10	pine	1050800
2	10	shrub	829800
2	10	urban	35700
2	10	water	443900
2	11	crop	2031400
2	11	grass	222400
2	11	oak	2365800
2	11	pine	1043300
2	11	shrub	828800
2	11	urban	35700
2	11	water	443900
2	12	crop	2023300
2	12	grass	222600
2	12	oak	2372900
2	12	pine	1046000
2	12	shrub	826600
2	12	urban	35700
2	12	water	443900
2	13	crop	2037100
2	13	grass	222500
2	13	oak	2375100
2	13	pine	1051700
2	13	shrub	830000
2	13	urban	35700
2	13	water	443900
2	14	crop	2037300
2	14	grass	222400
2	14	oak	2372400
2	14	pine	1053100
2	14	shrub	830200
2	14	urban	35700
2	14	water	443900
2	15	crop	2039000
2	15	grass	222600
2	15	oak	2375000
2	15	pine	1053900
2	15	shrub	830100
2	15	urban	35700
2	15	water	443900
2	16	crop	2038600
2	16	grass	222500
2	16	oak	2374800
2	16	pine	1053000
2	16	shrub	830500
2	16	urban	35700
2	16	water	443900
2	17	crop	2037600
2	17	grass	222400
2	17	oak	2372100
2	17	pine	1049200
2	17	shrub	829900
2	17	urban	35700
2	17	water	443900
2	18	crop	2026800
2	18	grass	222500
2	18	oak	2375000
2	18	pine	1047000
2	18	shrub	826900
2	18	urban	35700
2	18	water	443900
2	19	crop	2023600
2	19	grass	221800
2	19	oak	2354700
2	19	pine	1037700
2	19	shrub	827600
2	19	urban	35700
2	19	water	443900
2	20	crop	2033700
2	20	grass	222600
2	20	oak	2372900
2	20	pine	1052700
2	20	shrub	829200
2	20	urban	35700
2	20	water	443900
3	1	crop	2034000
3	1	grass	222000
3	1	oak	2373800
3	1	pine	1052300
3	1	shrub	830000
3	1	urban	35700
3	1	water	443900
3	2	crop	2036500
3	2	grass	222500
3	2	oak	2375400
3	2	pine	1053200
3	2	shrub	829700
3	2	urban	35700
3	2	water	443900
3	3	crop	2023900
3	3	grass	222400
3	3	oak	2370400
3	3	pine	1048300
3	3	shrub	828600
3	3	urban	35700
3	3	water	443900
3	4	crop	2037700
3	4	grass	222600
3	4	oak	2376400
3	4	pine	1053300
3	4	shrub	829700
3	4	urban	35700
3	4	water	443900
3	5	crop	2032100
3	5	grass	221400
3	5	oak	2369200
3	5	pine	1046100
3	5	shrub	828500
3	5	urban	35700
3	5	water	443900
3	6	crop	2037200
3	6	grass	222700
3	6	oak	2375900
3	6	pine	1053700
3	6	shrub	830500
3	6	urban	35700
3	6	water	443900
3	7	crop	2037200
3	7	grass	222100
3	7	oak	2374500
3	7	pine	1054300
3	7	shrub	830300
3	7	urban	35700
3	7	water	443900
3	8	crop	2035800
3	8	grass	222600
3	8	oak	2372000
3	8	pine	1050900
3	8	shrub	829900
3	8	urban	35700
3	8	water	443900
3	9	crop	2032900
3	9	grass	222200
3	9	oak	2368100
3	9	pine	1047800
3	9	shrub	829900
3	9	urban	35700
3	9	water	443900
3	10	crop	2037000
3	10	grass	222400
3	10	oak	2373900
3	10	pine	1054000
3	10	shrub	830400
3	10	urban	35700
3	10	water	443900
3	11	crop	2037800
3	11	grass	222100
3	11	oak	2375100
3	11	pine	1053700
3	11	shrub	830100
3	11	urban	35700
3	11	water	443900
3	12	crop	2039900
3	12	grass	222500
